SpeakerName,Characteristic,Votes
Sloan Combs,Expectation,3.9285714285714284
Tobias Hobbes,Expectation,4
Paislee Jež,Expectation,4.071428571428571
Kristine Harland,Expectation,4.2
Evander Corvi,Expectation,4.230769230769231
Rhianna Clarke,Expectation,4.411764705882353
Purdie Badcock,Expectation,4.5
Sonny Rodríguez,Expectation,4.5
Delta Shelby,Expectation,4.6
Elsabeth Fabbro,Expectation,4.708333333333333
Santos Coy,Expectation,4.730769230769231
Spencer Hargrave,Expectation,4.7368421052631575
Vladimira Chancellor,Expectation,4.75
Coreen Domínguez,Expectation,4.758620689655173
Virginia Devin,Expectation,4.761904761904762
Galen Manfredi,Expectation,4.785714285714286
Harrison Serpico,Expectation,4.827586206896552
Millicent Quincey,Expectation,4.9
Oleksander Wynne,Expectation,4.907407407407407
Averill Vespa,Expectation,4.947368421052632
Enej Fini,Expectation,5
Goffredo Fava,Expectation,5
Irvine Fairburn,Expectation,5
Valentín Alexander,Expectation,5.166666666666667
Delta Shelby,Interesting,4.466666666666667
Virginia Devin,Interesting,4.523809523809524
Paislee Jež,Interesting,4.785714285714286
Santos Coy,Interesting,4.846153846153846
Sloan Combs,Interesting,4.857142857142857
Sonny Rodríguez,Interesting,4.875
Kristine Harland,Interesting,5
Tobias Hobbes,Interesting,5
Galen Manfredi,Interesting,5.035714285714286
Rhianna Clarke,Interesting,5.0588235294117645
Coreen Domínguez,Interesting,5.068965517241379
Harrison Serpico,Interesting,5.172413793103448
Averill Vespa,Interesting,5.2105263157894735
Oleksander Wynne,Interesting,5.2407407407407405
Purdie Badcock,Interesting,5.333333333333333
Evander Corvi,Interesting,5.384615384615385
Goffredo Fava,Interesting,5.421052631578948
Valentín Alexander,Interesting,5.458333333333333
Enej Fini,Interesting,5.461538461538462
Irvine Fairburn,Interesting,5.5
Millicent Quincey,Interesting,5.55
Spencer Hargrave,Interesting,5.578947368421052
Vladimira Chancellor,Interesting,5.625
Elsabeth Fabbro,Interesting,5.708333333333333
Delta Shelby,OralPresentation,4.333333333333333
Sonny Rodríguez,OralPresentation,4.5
Virginia Devin,OralPresentation,4.523809523809524
Coreen Domínguez,OralPresentation,4.827586206896552
Paislee Jež,OralPresentation,4.857142857142857
Averill Vespa,OralPresentation,4.947368421052632
Valentín Alexander,OralPresentation,5.083333333333333
Oleksander Wynne,OralPresentation,5.12962962962963
Rhianna Clarke,OralPresentation,5.176470588235294
Galen Manfredi,OralPresentation,5.178571428571429
Irvine Fairburn,OralPresentation,5.285714285714286
Sloan Combs,OralPresentation,5.285714285714286
Evander Corvi,OralPresentation,5.3076923076923075
Purdie Badcock,OralPresentation,5.333333333333333
Vladimira Chancellor,OralPresentation,5.375
Santos Coy,OralPresentation,5.384615384615385
Kristine Harland,OralPresentation,5.4
Harrison Serpico,OralPresentation,5.448275862068965
Enej Fini,OralPresentation,5.5
Tobias Hobbes,OralPresentation,5.5
Goffredo Fava,OralPresentation,5.526315789473684
Spencer Hargrave,OralPresentation,5.526315789473684
Millicent Quincey,OralPresentation,5.6
Elsabeth Fabbro,OralPresentation,5.75
Sonny Rodríguez,Useful,4
Paislee Jež,Useful,4.285714285714286
Sloan Combs,Useful,4.357142857142857
Virginia Devin,Useful,4.380952380952381
Tobias Hobbes,Useful,4.5
Rhianna Clarke,Useful,4.529411764705882
Delta Shelby,Useful,4.6
Kristine Harland,Useful,4.6
Santos Coy,Useful,4.653846153846154
Averill Vespa,Useful,4.7368421052631575
Goffredo Fava,Useful,5
Galen Manfredi,Useful,5.035714285714286
Enej Fini,Useful,5.076923076923077
Coreen Domínguez,Useful,5.103448275862069
Oleksander Wynne,Useful,5.12962962962963
Irvine Fairburn,Useful,5.142857142857143
Harrison Serpico,Useful,5.172413793103448
Evander Corvi,Useful,5.230769230769231
Valentín Alexander,Useful,5.333333333333333
Millicent Quincey,Useful,5.35
Vladimira Chancellor,Useful,5.375
Purdie Badcock,Useful,5.388888888888889
Spencer Hargrave,Useful,5.421052631578948
Elsabeth Fabbro,Useful,5.583333333333333
